crawl_date,category,maker,code,name,price,spec,image_url,is_excluded,exclude_reason
2026-08-21,SSD,삼성전자,18297722,삼성전자 990 PRO M.2 NVMe (2TB),627000,"M.2 (2280)/PCIe4.0x4 (64GT/s)/TLC(토글)/DRAM 탑재/DDR4 2GB/컨트롤러:삼성 Pascal/[성능]/순차읽기:7,450MB/s/순차쓰기:6,900MB/s/읽기IOPS:1,400K/쓰기IOPS:1,550K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/GC/DEVSLP/AES 암호화/전용 S/W/[환경특성]/MTBF:150만/TBW:1,200TB/SLC:226GB/PS5 호환/A/S기간:5년,제한보증/방열판 미포함/두께:2.3mm/9g",https://img.danuri.io/catalog-image/722/297/018/86053af7566c43d8b3c56da85d1ac491.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,18297002,삼성전자 990 PRO M.2 NVMe (1TB),427640,"M.2 (2280)/PCIe4.0x4 (64GT/s)/TLC(토글)/DRAM 탑재/DDR4 1GB/컨트롤러:삼성 Pascal/[성능]/순차읽기:7,450MB/s/순차쓰기:6,900MB/s/읽기IOPS:1,200K/쓰기IOPS:1,550K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/GC/DEVSLP/AES 암호화/전용 S/W/[환경특성]/MTBF:150만/TBW:600TB/SLC:114GB/PS5 호환/A/S기간:5년,제한보증/방열판 미포함/두께:2.3mm/9g",https://img.danuri.io/catalog-image/002/297/018/cef7765f78274e328e30c4cee187aa1a.jpeg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,69869543,삼성전자 990 EVO Plus M.2 NVMe (1TB),349030,"M.2 (2280)/PCIe4.0x4(64GT/s), PCIe5.0x2/TLC(토글)/컨트롤러:삼성 Piccolo/[성능]/순차읽기:7,150MB/s/순차쓰기:6,300MB/s/읽기IOPS:850K/쓰기IOPS:1,350K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/HMB/GC/DEVSLP/AES 암호화/[환경특성]/MTBF:150만/TBW:600TB/SLC:108GB/PS5 호환/A/S기간:5년,제한보증/방열판 미포함/두께:2.38mm/9g",https://img.danuri.io/catalog-image/543/869/069/bb8eff470ce54b689aaed45ea99a2475.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,28131875,삼성전자 990 PRO M.2 NVMe (4TB),1404160,"M.2 (2280)/PCIe4.0x4 (64GT/s)/TLC(토글)/DRAM 탑재/DDR4 4GB/컨트롤러:삼성 Pascal/[성능]/순차읽기:7,450MB/s/순차쓰기:6,900MB/s/읽기IOPS:1,600K/쓰기IOPS:1,550K/[지원기능]/DEVSLP/TRIM/SLC캐싱/GC/S.M.A.R.T/전용 S/W/AES 암호화/[환경특성]/MTBF:150만/TBW:2,400TB/SLC:442GB/PS5 호환/A/S기간:5년,제한보증/방열판 미포함/두께:2.3mm/9g",https://img.danuri.io/catalog-image/875/131/028/0382f1e2261e45a99374ccdc14809019.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,13486118,삼성전자 PM9A1 M.2 NVMe 벌크 (1TB),383250,"M.2 (2280)/PCIe4.0x4 (64GT/s)/TLC(토글)/DRAM 탑재/DDR4 1GB/컨트롤러:삼성 Elpis/[성능]/순차읽기:7,000MB/s/순차쓰기:5,100MB/s/읽기IOPS:1,000K/쓰기IOPS:850K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/AES 암호화/[환경특성]/MTBF:150만/TBW:600TB/SLC:114GB/PS5 호환/방열판 미포함/두께:2.38mm/9g/[기타]/노트북 적출상품/＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/118/486/013/c0b213da21ff45789ee1f1ea56d38e26.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,13190573,삼성전자 870 EVO (1TB),515740,"6.4cm(2.5형)/SATA3 (6Gb/s)/TLC(토글)/DRAM 탑재/DDR4 1GB/컨트롤러:삼성 MKX/[성능]/순차읽기:560MB/s/순차쓰기:530MB/s/읽기IOPS:98K/쓰기IOPS:88K/[지원기능]/TRIM/SLC캐싱/GC/S.M.A.R.T/AES 암호화/전용 S/W/[환경특성]/MTBF:150만/TBW:600TB/SLC:42GB/A/S기간:5년,제한보증/두께:6.8mm/45g",https://img.danuri.io/catalog-image/573/190/013/ea7540cd5a0844b0880102c50d8ab936.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,78716702,삼성전자 9100 PRO M.2 NVMe (1TB),484220,"M.2 (2280)/PCIe5.0x4 (128GT/s)/TLC(토글)/DRAM 탑재/DDR4 1GB/컨트롤러:삼성 Presto/[성능]/순차읽기:14,700MB/s/순차쓰기:13,300MB/s/읽기IOPS:1,850K/쓰기IOPS:2,600K/[지원기능]/DEVSLP/TRIM/SLC캐싱/GC/S.M.A.R.T/AES 암호화/전용 S/W/[환경특성]/MTBF:150만/TBW:600TB/SLC:114GB/PS5 호환/A/S기간:5년,제한보증/방열판 미포함/두께:2.38mm/9g",https://img.danuri.io/catalog-image/702/716/078/74cc0bb123cc4ed88bb8437dc6020554.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,13550969,삼성전자 PM9A1 M.2 NVMe 벌크 (256GB),142350,"M.2 (2280)/PCIe4.0x4 (64GT/s)/TLC(토글)/DRAM 탑재/DDR4 512MB/컨트롤러:삼성 Elpis/[성능]/순차읽기:6,400MB/s/순차쓰기:2,700MB/s/읽기IOPS:500K/쓰기IOPS:600K/[지원기능]/TRIM/SLC캐싱/S.M.A.R.T/AES 암호화/[환경특성]/MTBF:150만/TBW:150TB/SLC:49GB/PS5 호환/방열판 미포함/두께:2.38mm/9g/[기타]/노트북 적출상품/＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/969/550/013/c9ee66e0e9284b0fb232af8505cfd8c1.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,13649699,삼성전자 PM9A1 M.2 NVMe 벌크 (512GB),257330,"M.2 (2280)/PCIe4.0x4 (64GT/s)/TLC(토글)/DRAM 탑재/DDR4 512MB/컨트롤러:삼성 Elpis/[성능]/순차읽기:6,900MB/s/순차쓰기:5,000MB/s/읽기IOPS:800K/쓰기IOPS:800K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/AES 암호화/[환경특성]/MTBF:150만/TBW:300TB/SLC:94GB/PS5 호환/방열판 미포함/두께:2.38mm/9g/[기타]/노트북 적출상품/＊병행, 중고 판매처 확인요망",https://img.danuri.io/catalog-image/699/649/013/3c79420816ef4c09811be085e2a530fb.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,98228288,삼성전자 9100 PRO M.2 NVMe (8TB),3060410,"M.2 (2280)/PCIe5.0x4 (128GT/s)/TLC(토글)/DRAM 탑재/DDR4 8GB/컨트롤러:삼성 Presto/[성능]/순차읽기:14,800MB/s/순차쓰기:13,400MB/s/읽기IOPS:2,200K/쓰기IOPS:2,600K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/GC/DEVSLP/AES 암호화/전용 S/W/[환경특성]/MTBF:150만/TBW:4,800TB/PS5 호환/A/S기간:5년,제한보증/방열판 미포함/두께:3.88mm/9.5g",https://img.danuri.io/catalog-image/288/228/098/98954a981b3a47cab40e1a612038a1b1.jpg?shrink=80:80,False,
2026-08-21,SSD,삼성전자,13190519,삼성전자 870 EVO (500GB),358400,"6.4cm(2.5형)/SATA3 (6Gb/s)/TLC(토글)/DRAM 탑재/DDR4 512MB/컨트롤러:삼성 MKX/[성능]/순차읽기:560MB/s/순차쓰기:530MB/s/읽기IOPS:98K/쓰기IOPS:88K/[지원기능]/TRIM/S.M.A.R.T/SLC캐싱/GC/AES 암호화/전용 S/W/[환경특성]/MTBF:150만/TBW:300TB/SLC:22GB/A/S기간:5년,제한보증/두께:6.8mm/45g",https://img.danuri.io/catalog-image/519/190/013/092cc914cdc449d4a9b4f2d9220f7dd4.jpg?shrink=80:80,False,
