crawl_date,category,maker,code,name,price,spec,image_url,is_excluded,exclude_reason
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",79397648,MSI MAG B850M 박격포 WIFI,278610,"AMD(소켓AM5)/AMD B850/DDR5/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:12+2+1페이즈/60A/Vcore출력합계:720/[메모리]/8200MHz (PC5-65600)/4개/메모리 용량:최대 256GB/EXPO/[확장슬롯]/PCIe버전:PCIe5.0/PCIex16:1개/PCIex4:1개/[저장장치]/SATA3:4개/M.2:3개/M.2 연결:PCIe5.0,PCIe4.0,NVMe/[후면단자]/HDMI/USB3.x 20Gbps/USB3.x 10Gbps/USB3.x 5Gbps/RJ-45/S/PDIF/오디오잭/BIOS플래시백/클리어CMOS/USB A타입:7개/USB C타입:2개/[랜/오디오]/유선랜 칩셋:Realtek 8126VB/5Gbps/RJ-45:1개/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek ALC4080/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.1 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더,펌프전용 헤더/시스템팬 4핀:4개/I/O 헤더:TPM 헤더,디버그LED,프론트오디오AAFP 헤더,침입감지 헤더/[특징]/SPS(DrMOS)/전원부 방열판/M.2 히트싱크/일체형IO실드/UEFI",https://img.danuri.io/catalog-image/648/397/079/9b1a4bcef5fb4d42be0061f4924834b8.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",122697197,GIGABYTE B850M GAMING X WIFI6E 제이씨현,202400,"AMD(소켓AM5)/AMD B850/DDR5/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:10+2+2페이즈/60A/Vcore출력합계:600/메모리/8200MHz (PC5-65600)/4개/메모리 용량:최대 256GB/XMP/EXPO/확장슬롯/PCIe버전:PCIe5.0,PCIe3.0/PCIex16:1개/PCIex16(at x4):1개/저장장치/SATA3:4개/M.2:2개/M.2 연결:PCIe5.0,PCIe4.0,NVMe/후면단자/HDMI/DP/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/오디오잭/BIOS플래시백/USB A타입:7개/USB C타입:1개/랜/오디오/유선랜 칩셋:Realtek/2.5Gbps/RJ-45:1개/Realtek RTL8852CE/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.2 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더,CPU추가팬(OPT) 헤더,펌프전용 헤더/시스템팬 4핀:1개/I/O 헤더:TPM 헤더,프론트오디오AAFP 헤더/특징/M.2 히트싱크/UEFI",https://img.danuri.io/catalog-image/197/697/122/8c2152c5c6144a0a8b54e189fedfbff5.png?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",75857021,MSI MAG X870E 토마호크 WIFI,466470,"AMD(소켓AM5)/AMD X870E/DDR5/VGA 연결:PCIe5.0 x16/ATX (30.5x24.4cm)/전원부:14+2+1페이즈/80A/Vcore출력합계:1120/메모리/8400MHz (PC5-67200)/4개/메모리 용량:최대 256GB/XMP/EXPO/확장슬롯/PCIe버전:PCIe5.0,PCIe4.0,PCIe3.0/PCIex16:1개/PCIex16(at x4):1개/PCIex16(at x1):1개/저장장치/SATA3:4개/M.2:4개/M.2 연결:PCIe5.0,PCIe4.0,NVMe,USB4 레인공유/후면단자/HDMI/Type-C/USB4 40Gbps/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/S/PDIF/오디오잭/BIOS플래시백/클리어CMOS/USB A타입:9개/USB C타입:3개/랜/오디오/유선랜 칩셋:Realtek 8126/5Gbps/RJ-45:1개/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek ALC4080/7.1채널(8ch)/내부I/O/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.2 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더,CPU추가팬(OPT) 헤더/시스템팬 4핀:6개/I/O 헤더:TPM 헤더,디버그LED,프론트오디오AAFP 헤더,침입감지 헤더/특징/SPS(DrMOS)/전원부 방열판/M.2 히트싱크/일체형IO실드/UEFI",https://img.danuri.io/catalog-image/021/857/075/ae02013247374dbcaab99e6ca477ac02.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",21727307,GIGABYTE B650M K 피씨디렉트,120240,"AMD(소켓AM5)/AMD B650/DDR5/VGA 연결:PCIe4.0 x16/M-ATX (24.4x24.4cm)/전원부:8+2+2페이즈/[메모리]/8000MHz (PC5-64000)/4개/메모리 용량:최대 192GB/XMP3.0/EXPO/[확장슬롯]/PCIe버전:PCIe4.0,PCIe3.0/PCIex16:1개/PCIex1:1개/[저장장치]/M.2:2개/SATA3:4개/M.2 연결:PCIe4.0,NVMe/[후면단자]/HDMI/DP/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/오디오잭/PS/2/BIOS플래시백/USB A타입:7개/USB C타입:1개/[랜/오디오]/유선랜 칩셋:Realtek/2.5Gbps/RJ-45:1개/오디오 칩셋:Realtek/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.0 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더/시스템팬 4핀:2개/I/O 헤더:TPM 헤더,프론트오디오AAFP 헤더/M.2 히트싱크/UEFI/24년 1월부로 리비전 1.1 변경에 따른 전원부페이즈 수정 및 ARGB 헤더 1개 추가",https://img.danuri.io/catalog-image/307/727/021/ae16eb7d429241e5bc56043aaa1d4577.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",95988710,ASUS TUF Gaming B850M-PLUS WIFI7 STCOM,272050,"AMD(소켓AM5)/AMD B850/DDR5/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:14+2+1페이즈/80A/Vcore출력합계:1120/[메모리]/8000MHz (PC5-64000)/4개/메모리 용량:최대 256GB/EXPO/[확장슬롯]/PCIe버전:PCIe5.0,PCIe4.0/PCIex16:1개/PCIex1:1개/[저장장치]/SATA3:4개/M.2:3개/M.2 연결:PCIe5.0,PCIe4.0,NVMe,PCIe 레인공유/[후면단자]/HDMI/DP/USB3.x 20Gbps/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/오디오잭/BIOS플래시백/USB A타입:11개/USB C타입:1개/[랜/오디오]/유선랜 칩셋:Realtek/2.5Gbps/RJ-45:1개/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek ALC1220P/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.1 Type C 헤더,ARGB 5V 3핀 헤더,CPU추가팬(OPT) 헤더,펌프전용 헤더/시스템팬 4핀:3개/I/O 헤더:프론트오디오AAFP 헤더,침입감지 헤더,COM포트 헤더/[특징]/DrMOS/전원부 방열판/M.2 히트싱크/일체형IO실드/LED라이트/UEFI",https://img.danuri.io/catalog-image/710/988/095/65ccf36625b84800af2b694e9bd8fb8a.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",74340266,MSI MAG B860M 박격포 WIFI,274350,"인텔(소켓1851)/인텔 B860/DDR5/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:12+1+1+1페이즈/60A/Vcore출력합계:720/[메모리]/9200MHz (PC5-73600)/4개/메모리 용량:최대 256GB/XMP3.0/[확장슬롯]/PCIe버전:PCIe5.0,PCIe4.0/PCIex16:1개/PCIex1:1개/[저장장치]/SATA3:4개/M.2:3개/M.2 연결:PCIe5.0,PCIe4.0,NVMe/[후면단자]/HDMI/DP/Type-C/썬더볼트4/USB3.x 10Gbps/USB 2.0/RJ-45/S/PDIF/오디오잭/BIOS플래시백/클리어CMOS/USB A타입:7개/USB C타입:2개/[랜/오디오]/유선랜 칩셋:Realtek 8126/5Gbps/RJ-45:1개/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek ALC897/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:썬더볼트5 헤더,USB3.0 헤더,USB2.0 헤더,USB3.1 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더,CPU추가팬(OPT) 헤더/시스템팬 4핀:4개/I/O 헤더:TPM 헤더,디버그LED,프론트오디오AAFP 헤더,침입감지 헤더,COM포트 헤더/[특징]/SPS(DrMOS)/전원부 방열판/M.2 히트싱크/일체형IO실드/UEFI",https://img.danuri.io/catalog-image/266/340/074/777751b46c21424db221a90e8db2b493.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",74338115,ASUS ROG STRIX B860-G GAMING WIFI 코잇,299490,"인텔(소켓1851)/인텔 B860/DDR5/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:14+1+2+1페이즈/80A/Vcore출력합계:1120/[메모리]/9066MHz (PC5-72500)/4개/메모리 용량:최대 192GB/XMP/[확장슬롯]/PCIe버전:PCIe5.0,PCIe4.0/PCIex16:1개/[저장장치]/SATA3:4개/M.2:4개/M.2 연결:PCIe5.0,PCIe4.0,NVMe/[후면단자]/HDMI/DP/Type-C/썬더볼트4/USB3.x 20Gbps/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/S/PDIF/오디오잭/BIOS플래시백/클리어CMOS/USB A타입:8개/USB C타입:2개/[랜/오디오]/유선랜 칩셋:Intel/2.5Gbps/RJ-45:1개/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek ALC1220P/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.1 Type C 헤더,ARGB 5V 3핀 헤더,CPU추가팬(OPT) 헤더,펌프전용 헤더/시스템팬 4핀:2개/I/O 헤더:디버그LED,프론트오디오AAFP 헤더,온도 센서/[특징]/DrMOS/전원부 방열판/M.2 히트싱크/일체형IO실드/UEFI",https://img.danuri.io/catalog-image/115/338/074/13b4830843164038b4dae87db0283a50.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",73892000,GIGABYTE B850M AORUS ELITE WIFI6E ICE 피씨디렉트,233910,"AMD(소켓AM5)/AMD B850/DDR5/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:12+2+2페이즈/60A/Vcore출력합계:720/메모리/8200MHz (PC5-65600)/4개/메모리 용량:최대 256GB/XMP3.0/EXPO/확장슬롯/PCIe버전:PCIe5.0,PCIe3.0/PCIex16:1개/PCIex16(at x4):1개/저장장치/SATA3:4개/M.2:2개/M.2 연결:PCIe5.0,PCIe4.0,NVMe/후면단자/DP/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/S/PDIF/오디오잭/BIOS플래시백/USB A타입:11개/USB C타입:1개/랜/오디오/유선랜 칩셋:Realtek/2.5Gbps/RJ-45:1개/Realtek RTL8852CE/무선랜(Wi-Fi)/블루투스/오디오 칩셋:Realtek/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.2 Type C 헤더/특징/DrMOS/전원부 방열판/M.2 히트싱크/일체형IO실드/LED라이트/UEFI",https://img.danuri.io/catalog-image/000/892/073/02c13af6f28f43cc9f654c489d2e92ed.jpeg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",27474755,MSI PRO B760M-A DDR4 II,147560,"인텔 B760/인텔(소켓1700)/DDR4/VGA 연결:PCIe4.0 x16/M-ATX (24.4x24.4cm)/전원부:14페이즈/[메모리]/5333MHz (PC4-42600)/4개/메모리 용량:최대 128GB/XMP/[확장슬롯]/PCIe버전:PCIe4.0,PCIe3.0/PCIex16:1개/PCIex16(at x4):1개/PCIex1:1개/[저장장치]/M.2:2개/SATA3:4개/M.2 연결:PCIe4.0,PCIe,SATA,SATA 레인공유/[후면단자]/HDMI/DP/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/오디오잭/PS/2/USB A타입:6개/[랜/오디오]/유선랜 칩셋:Realtek 8125bg/2.5Gbps/RJ-45:1개/오디오 칩셋:Realtek ALC897/[내부I/O]/USB/팬 헤더:USB3.0 헤더,USB2.0 헤더,USB3.0 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더,CPU추가팬(OPT) 헤더/시스템팬 4핀:2개/I/O 헤더:디버그LED/전원부 방열판/M.2 히트싱크/UEFI",https://img.danuri.io/catalog-image/755/474/027/1d24ac6027dd49d8822922f89743862a.jpg?shrink=80:80,False,
2026-08-21,메인보드,"MSI,ASUS,GIGABYTE",105813494,GIGABYTE B760M AORUS ELITE D4 GEN5 피씨디렉트,182430,"인텔 B760/인텔(소켓1700)/DDR4/VGA 연결:PCIe5.0 x16/M-ATX (24.4x24.4cm)/전원부:12+1+1페이즈/페이즈당60A/Vcore출력합계:720A/[메모리]/3200MHz (PC4-25600)/4개/메모리 용량:최대 128GB/XMP/[확장슬롯]/PCIe버전:PCIe5.0,PCIe4.0/PCIex16:1개/PCIex16(at x4):1개/[저장장치]/M.2:2개/SATA3:4개/M.2 연결:PCIe4.0,NVMe/[후면단자]/HDMI/DP/USB3.x 20Gbps/USB3.x 10Gbps/USB3.x 5Gbps/USB 2.0/RJ-45/S/PDIF/오디오잭/USB A타입:8개/USB C타입:1개/[랜/오디오]/유선랜 칩셋:Realtek/2.5Gbps/RJ-45:1개/오디오 칩셋:Realtek ALC1220/7.1채널(8ch)/[내부I/O]/USB/팬 헤더:썬더볼트 헤더,USB3.0 헤더,USB2.0 헤더,USB3.1 Type C 헤더,RGB 12V 4핀 헤더,ARGB 5V 3핀 헤더/시스템팬 4핀:3개/I/O 헤더:TPM 헤더,프론트오디오AAFP 헤더/[특징]/DrMOS/전원부 방열판/M.2 히트싱크/일체형IO실드/LED라이트/UEFI",https://img.danuri.io/catalog-image/494/813/105/17e2cb61b6454ca7bec9e982578075f6.jpg?shrink=80:80,False,
