crawl_date,category,maker,code,name,price,spec,image_url,is_excluded,exclude_reason
2026-08-21,파워,"마이크로닉스,darkFlash",51815078,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1,145860,"ATX 파워/850W/80 PLUS 골드/케이블연결:풀모듈러/전압변동:±0.5%/+12V 싱글레일/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 10년/[커넥터]/메인전원:24핀(20+4)/보조전원:8핀x1, (4+4)핀x1/PCIe 16핀(12+4):12V2x6 1개/PCIe 8핀(6+2):3개/SATA:8개/IDE 4핀:4개/FDD:1개/[부가기능]/팬리스모드/자동 팬 조절/대기전력 1W 미만/플랫케이블/[변경사항]/25년 7월 PCIe 8핀(6+2) 2개→3개로 변경",https://img.danuri.io/catalog-image/078/815/051/ea4478cdd46e4e3abc021f713f4f5cac.jpeg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",96986309,마이크로닉스 Classic II 풀체인지 700W 80PLUS실버 ATX3.1,86900,"ATX 파워/700W/80 PLUS 실버/ETA인증:SILVER/LAMBDA인증:STANDARD++/전압변동:±0.5%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 7년/[커넥터]/메인전원:24핀/보조전원:8핀x1, (4+4)핀x1/PCIe 16핀(12+4):12V2x6 1개/PCIe 8핀(6+2):2개/SATA:6개/IDE 4핀:4개/[부가기능]/대기전력 1W 미만",https://img.danuri.io/catalog-image/309/986/096/bc73ea40a4514430abe4148ef6ae8380.jpeg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",96986270,마이크로닉스 Classic II 풀체인지 600W 80PLUS실버 ATX3.1,65360,"ATX 파워/600W/80 PLUS 실버/ETA인증:SILVER/LAMBDA인증:STANDARD++/전압변동:±0.5%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 7년/[커넥터]/메인전원:24핀/보조전원:8핀x1, 4핀x1/PCIe 8핀(6+2):2개/SATA:6개/IDE 4핀:4개/[부가기능]/대기전력 1W 미만",https://img.danuri.io/catalog-image/270/986/096/d6b3a18236d84022881c8fe0629985dd.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",96986219,마이크로닉스 Classic II 풀체인지 500W 80PLUS실버 ATX3.1,57980,"ATX 파워/500W/80 PLUS 실버/ETA인증:SILVER/LAMBDA인증:A-/전압변동:±0.5%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 7년/[커넥터]/메인전원:24핀/보조전원:8핀x1, 4핀x1/PCIe 8핀(6+2):2개/SATA:6개/IDE 4핀:3개/[부가기능]/대기전력 1W 미만",https://img.danuri.io/catalog-image/219/986/096/187d4788f5f94df58e13391cf453fd1a.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",58913891,마이크로닉스 Classic II 750W 80PLUS골드 풀모듈러 ATX3.1,126500,"ATX 파워/750W/80 PLUS 골드/케이블연결:풀모듈러/전압변동:±0.2%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 10년 /[커넥터]/메인전원:24핀(20+4)/보조전원:8핀x1, (4+4)핀x1/PCIe 16핀(12+4):12V2x6 1개/PCIe 8핀(6+2):2개/SATA:8개/IDE 4핀:4개/FDD:1개/[부가기능]/팬리스모드/자동 팬 조절/대기전력 1W 미만/플랫케이블",https://img.danuri.io/catalog-image/891/913/058/4efa58882eca4672a276e7c0038b78c1.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",75938642,darkFlash 퍼펙트모스트 850W 80PLUS골드 풀모듈러 ATX3.1 블랙,119350,ATX 파워/850W/80 PLUS 골드/케이블연결:풀모듈러/ETA인증:PLATINUM/LAMBDA인증:A-/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 10년 /[커넥터]/메인전원:24핀(20+4)/보조전원:(4+4)핀x2/PCIe 16핀(12+4):12V2x6 1개/PCIe 8핀(6+2):3개/SATA:7개/IDE 4핀:5개/[부가기능]/팬리스모드/자동 팬 조절/대기전력 1W 미만,https://img.danuri.io/catalog-image/642/938/075/90cb28ce660948c1b9388b50ecd18b74.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",63029591,마이크로닉스 Classic II 1050W 80PLUS골드 풀모듈러 ATX3.1,184800,"ATX 파워/1050W/80 PLUS 골드/케이블연결:풀모듈러/전압변동:±0.1%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 10년/[커넥터]/메인전원:24핀(20+4)/보조전원:8핀x1, (4+4)핀x1/PCIe 16핀(12+4):12V2x6 1개/PCIe 8핀(6+2):3개/SATA:8개/IDE 4핀:4개/FDD:1개/[부가기능]/팬리스모드/자동 팬 조절/대기전력 1W 미만/플랫케이블/제로팬모드 / 메쉬케이블 / 25년 7월 PCIe 8핀(6+2) 4개→3개로 변경",https://img.danuri.io/catalog-image/591/029/063/bd5cfa0a468746af825adb11f6fa3fed.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",72979889,마이크로닉스 Classic II 풀체인지 650W 80PLUS스탠다드 ATX3.1,64670,ATX 파워/650W/80 PLUS 스탠다드/전압변동:±0.32%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 7년/[커넥터]/메인전원:24핀(20+4)/보조전원:(4+4)핀x1/PCIe 8핀(6+2):2개/SATA:4개/IDE 4핀:2개/[부가기능]/대기전력 1W 미만/플랫케이블,https://img.danuri.io/catalog-image/889/979/072/36236d17a1914c52bb1193951a62d78a.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",49642652,마이크로닉스 Classic II 풀체인지 600W 80PLUS브론즈 ATX3.1,64810,"ATX 파워/600W/80 PLUS 브론즈/ETA인증:BRONZE/LAMBDA인증:STANDARD+/전압변동:±0.3%/+12V 싱글레일/+12V 가용률:100%/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 7년/[커넥터]/메인전원:24핀(20+4)/보조전원:8핀x1, 4핀x1/PCIe 8핀(6+2):2개/SATA:6개/IDE 4핀:4개/[부가기능]/팬리스모드/자동 팬 조절/대기전력 1W 미만/플랫케이블",https://img.danuri.io/catalog-image/652/642/049/d89c7949f0974c729ab7f7b0279d09d7.jpg?shrink=80:80,False,
2026-08-21,파워,"마이크로닉스,darkFlash",47487848,마이크로닉스 Classic II 850W 80PLUS골드 풀모듈러 ATX3.1 화이트,156200,"ATX 파워/850W/80 PLUS 골드/케이블연결:풀모듈러/전압변동:±0.5%/+12V 싱글레일/액티브PFC/PF(역률):99%/120mm 팬/깊이:140mm/무상 10년/[커넥터]/메인전원:24핀(20+4)/보조전원:8핀x1, (4+4)핀x1/PCIe 16핀(12+4):12V2x6 1개/PCIe 8핀(6+2):3개/SATA:8개/IDE 4핀:4개/FDD:1개/[부가기능]/팬리스모드/자동 팬 조절/대기전력 1W 미만/플랫케이블/[변경사항]/25년 10월 PCIe 8핀(6+2) 2개→3개로 변경",https://img.danuri.io/catalog-image/848/487/047/3186865d86e2472f8fe2fca8341be852.jpeg?shrink=80:80,False,
